time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-14 00:00:00+00:00,1,1,13,4
2023-10-15 00:00:00+00:00,4,2,1,1
2023-10-16 00:00:00+00:00,4,2,114,13
2023-10-17 00:00:00+00:00,19,7,195,14
2023-10-18 00:00:00+00:00,14,6,114,17
2023-10-19 00:00:00+00:00,13,8,73,16
2023-10-20 00:00:00+00:00,4,3,41,14
2023-10-21 00:00:00+00:00,6,3,27,3
2023-10-22 00:00:00+00:00,12,2,136,9
2023-10-23 00:00:00+00:00,28,11,170,20
2023-10-24 00:00:00+00:00,65,26,145,23
2023-10-25 00:00:00+00:00,37,10,123,13
2023-10-26 00:00:00+00:00,6,3,133,15
2023-10-27 00:00:00+00:00,8,3,68,12
