time_iso8601,stars_cumulative
2022-06-01 00:00:00+00:00,1
2022-06-13 00:00:00+00:00,2
2022-08-31 00:00:00+00:00,3
2022-11-30 00:00:00+00:00,4
2022-12-05 00:00:00+00:00,6
2022-12-08 00:00:00+00:00,7
2022-12-13 00:00:00+00:00,25
2022-12-14 00:00:00+00:00,48
2022-12-15 00:00:00+00:00,58
2022-12-16 00:00:00+00:00,63
2022-12-18 00:00:00+00:00,64
2022-12-19 00:00:00+00:00,70
2022-12-22 00:00:00+00:00,71
2022-12-23 00:00:00+00:00,72
2022-12-26 00:00:00+00:00,73
2022-12-28 00:00:00+00:00,74
2023-01-04 00:00:00+00:00,76
2023-01-05 00:00:00+00:00,77
